id;lat;long;modo
539;9.121795;-53.25359167;barco
540;6.18583333;-48.07379833;barco
541;-27.18602167;0.59581667;barco
542;-31.300605;39.60247833;barco
543;-29.04613;46.17166;barco
544;-16.99741833;70.31306833;barco
545;-9.27081833;80.56634333;barco
546;-34.20418333;26.3178;barco
547;-40.19213333;14.80426667;barco
548;-36.79281667;31.96001667;barco
549;-25.553495348;-48.35480392798086;barco
550;-28.833995;-34.52915167;barco
551;-12.52019;71.07202833;barco
552;-26.24776167;-44.077925;barco
553;-32.38978333;-0.21491167;barco
554;-32.699345;2.033;barco
555;-23.50411333;54.09725667;barco
556;6.022392686394914;94.51660316894387;barco
557;-22.93843333;56.3893;barco
558;-33.59285561116106;-59.810018940277054;barco
559;2.77646333;101.25696667;barco
560;-37.01186;-33.74868833;barco
561;-36.002390000000005;-26.49988333;barco
562;-28.86734167;43.27243333;barco
563;5.20550833;98.39659333;barco
564;0.30628;-50.56976167;barco
565;24.37735167;-24.59908833;barco
566;21.86430333;-27.73117167;barco
567;17.32793167;-32.93565;barco
568;32.45080667;-12.65196667;barco
569;-20.26625;-8.67463333;barco
570;-31.40613333;11.38665;barco
571;-31.51033;33.26798333;barco
572;-25.60993667;50.62825167;barco
573;38.29293333;121.37431667;barco
574;-34.58597667;23.81524333;barco
575;-35.07408;-47.948745;barco
576;-39.56048333;-55.85396667;barco
577;-39.65208333;-52.36725;barco
578;-36.69245;19.05573333;barco
579;-31.22066667;35.90588333;barco
580;-28.97425;40.75216667;barco
581;-37.66921667;23.48881667;barco
582;-2.03375;86.04326667;barco
583;-3.1738;82.77526667;barco
584;-29.21267833;-24.335225;barco
585;40.8743;157.04345667;barco
586;18.03308667;-103.29916333;barco
587;41.07010167;161.94791667;barco
588;39.11417667;-173.18598833;barco
589;36.28292167;-141.11075833;barco
590;34.01039667;32.764405;barco
591;24.13154667;58.79741667;barco
592;24.07796167;61.61915667;barco
593;23.16710167;63.545045;barco
594;-34.24335833;166.156565;barco
595;-39.25508167;173.61649167;barco
596;-40.26836167;176.93684833;barco
597;-43.34098667;173.87319333;barco
598;-25.98290667;158.894455;barco
599;-20.42829667;149.45288333;barco
600;5.98581667;88.88381667;barco
601;34.15513333;29.35568333;barco
602;29.5006;32.61723333;barco
603;24.938140230820583;36.1349848616454;barco
604;17.016965;40.60275167;barco
605;-5.942275;60.45962333;barco
606;-6.876015;52.96408;barco
607;37.9305;-8.849;barco
608;20.633768285921253;-65.16451885447957;barco
609;25.813165;-47.97842167;barco
610;33.01246;-117.94723667;barco
611;53.98169;7.61378167;barco
612;57.77871167;21.37927167;barco
613;56.83571167;11.84514167;barco
614;-14.49434;70.58864667;barco
615;-35.00160667;8.11176;barco
616;-34.99873167;-52.913535;barco
617;-15.21636;66.57120833;barco
618;-17.69332167;62.62747833;barco
619;-29.71384833;-10.03344833;barco
620;-29.693235;-13.87264833;barco
621;1.15874;-48.05252167;barco
622;9.81743833;-38.49415667;barco
623;-18.47139833;39.66271333;barco
624;-34.49374667;15.467675;barco
625;-25.96763833;-31.07136;barco
626;-16.15371167;42.70505;barco
627;-23.26605667;-41.92642;barco
628;-9.95032167;-33.19623833;barco
629;10.29776333;-23.05718;barco
630;-33.67691667;-8.71421667;barco
631;17.04521333;56.94341167;barco
632;-13.806565;42.12298333;barco
633;15.25393333;59.72742;barco
634;-4.07919667;72.07185667;barco
635;-28.806122923269868;32.119184313341975;barco
636;-28.21228333;35.78308333;barco
637;-25.18528333;48.09051667;barco
638;3.6153;79.0894;barco
639;18.83686667;86.33856667;barco
640;-13.04303167;-34.58991167;barco
641;-1.73902333;-29.31607167;barco
642;-31.59357333;-49.24467833;barco
643;17.473525;-20.366505;barco
644;19.99962167;-19.15972333;barco
645;21.99509833;-18.18785333;barco
646;50.009605;-2.80809833;barco
647;55.67356333;15.566245;barco
648;41.384265;-10.103585;barco
649;7.282407584369912;78.39684400823499;barco
650;-33.29703333;-5.22935;barco
651;-34.08344833;-23.04803;barco
652;-36.99971167;14.30476;barco
653;21.46920833;113.04422333;barco
654;56.00927;6.88219167;barco
655;52.15882167;3.50552667;barco
656;59.7365;-1.69;barco
657;57.69559833;-0.711645;barco
658;54.532965;12.22973;barco
659;-9.62261333;151.56945333;barco
660;-23.183625;151.71482167;barco
661;-19.68958333;152.93446667;barco
662;7.55596667;150.62145;barco
663;35.34813333;122.89061667;barco
664;-21.02713833;110.21549;barco
665;39.87928667;119.80129167;barco
666;29.66450167;121.93319667;barco
667;-30.58616667;15.159535;barco
668;-6.845002894320521;76.27634141511759;barco
669;-25.160055;112.101895;barco
670;26.86523333;122.15431667;barco
671;22.99748167;117.414155;barco
672;31.908543882258133;123.29176508535508;barco
673;14.86423931709553;41.94113885725672;barco
674;9.45835333;72.10407833;barco
675;11.67636667;43.15479667;barco
676;36.90933333;13.3865;barco
677;17.884915;-17.93307833;barco
678;35.19343333;-7.56198333;barco
679;31.03965;-11.22163333;barco
680;13.3086;-17.88531667;barco
681;36.352206284947776;19.131229568868065;barco
682;18.12445;-94.40706667;barco
683;38.866765;-21.56381167;barco
684;13.62644167;-57.39886667;barco
685;30.88982167;-40.22408167;barco
686;29.36721667;-89.55165;barco
687;-9.57658333;-35.16007667;barco
688;10.751325;-61.76778833;barco
689;32.18126661466512;-79.38361401316685;barco
690;26.91351667;-94.3812;barco
691;13.8351;-70.04968333;barco
692;-3.30428333;-37.57026667;barco
693;10.49027667;-58.541875;barco
694;-6.21716667;109.84348333;barco
695;-5.76568833;115.65950667;barco
696;-8.81941667;114.29920667;barco
697;26.14251333;56.70817167;barco
698;34.18197833;128.075375;barco
699;14.26638833;119.87307667;barco
700;46.79473333;140.30078333;barco
701;31.29596667;125.73945;barco
702;-2.88563667;109.574765;barco
703;1.5115361255855415;104.89143574846128;barco
704;11.984458054169709;83.29910874736548;barco
705;-0.8827526048787012;75.15827283063624;barco
706;23.22826667;119.85211167;barco
707;0.0580418142614305;118.38144876854204;barco
708;-3.40143667;117.889875;barco
709;4.814735;119.62370167;barco
710;25.41435;120.00351667;barco
